Configured Bottom monitor found.
Configured Top monitor found.
Config read from /home/flo/Programs/MonitorMouseMapper/config.json: {'bottom_monitors': [{'name': 'eDP-1-1', 'width_cm': '34.5', 'mouse_height_px': '0'}], 'top_monitors': [{'name': 'DP-1-2-2', 'width_cm': '52.4'}], 'safety_region': '200'}
Setting eDP-1-1 position to 0x2400

 X: 853, Y: 3157   
 X: 853, Y: 3154   
 X: 856, Y: 3147   
 X: 863, Y: 3140   
 X: 874, Y: 3119   
 X: 881, Y: 3108   
 X: 902, Y: 3077   
 X: 902, Y: 3074   
 X: 903, Y: 3070   
 X: 904, Y: 3070   
 X: 904, Y: 3069   
 X: 904, Y: 3068   
 X: 904, Y: 3067   
 X: 905, Y: 3067   
 X: 905, Y: 3066   
 X: 905, Y: 3065   
 X: 905, Y: 3064   
 X: 904, Y: 3063   
 X: 896, Y: 3057   
 X: 873, Y: 3052   
 X: 830, Y: 3045   
 X: 781, Y: 3045   
 X: 718, Y: 3049   
 X: 648, Y: 3063   
 X: 568, Y: 3091   
 X: 548, Y: 3101   
 X: 462, Y: 3143   
 X: 388, Y: 3185   
 X: 318, Y: 3234   
 X: 259, Y: 3287   
 X: 210, Y: 3343   
 X: 185, Y: 3385   
 X: 179, Y: 3407   
 X: 176, Y: 3435   
 X: 192, Y: 3463   
 X: 217, Y: 3482   
 X: 265, Y: 3499   
 X: 332, Y: 3516   
 X: 398, Y: 3523   
 X: 451, Y: 3527   
 X: 531, Y: 3527   
 X: 619, Y: 3513   
 X: 710, Y: 3488   
 X: 790, Y: 3457   
 X: 874, Y: 3408   
 X: 920, Y: 3369   
 X: 944, Y: 3342   
 X: 982, Y: 3300   
 X: 1010, Y: 3255   
 X: 1031, Y: 3216   
 X: 1040, Y: 3190   
 X: 1049, Y: 3161   
 X: 1059, Y: 3133   
 X: 1059, Y: 3124   
 X: 1060, Y: 3121   
 X: 1060, Y: 3117   
 X: 1059, Y: 3117   
 X: 1059, Y: 3118   
 X: 1058, Y: 3120   
 X: 1058, Y: 3121   
 X: 1058, Y: 3122   
 X: 1058, Y: 3124   
 X: 1060, Y: 3127   
 X: 1062, Y: 3131   
 X: 1063, Y: 3135   
 X: 1068, Y: 3142   
 X: 1078, Y: 3150   
 X: 1089, Y: 3156   
 X: 1119, Y: 3164   
 X: 1157, Y: 3164   
 X: 1209, Y: 3154   
 X: 1224, Y: 3148   
 X: 1276, Y: 3122   
 X: 1328, Y: 3080   
 X: 1377, Y: 3021   
 X: 1430, Y: 2944   
 X: 1472, Y: 2874   
 X: 1510, Y: 2797   
 X: 1524, Y: 2773   
 X: 1561, Y: 2699   
 X: 1596, Y: 2633   
 X: 1624, Y: 2577   
 X: 1641, Y: 2538   
 X: 1655, Y: 2500   
 X: 1661, Y: 2483   
 X: 1663, Y: 2475   
 X: 1663, Y: 2474   
 X: 1663, Y: 2476   
 X: 1663, Y: 2479   
 X: 1661, Y: 2498   
 X: 1661, Y: 2537   
 X: 1661, Y: 2558   
 X: 1664, Y: 2606   
 X: 1671, Y: 2655   
 X: 1685, Y: 2697   
 X: 1702, Y: 2742   
 X: 1726, Y: 2762   
 X: 1733, Y: 2767   
 X: 1739, Y: 2768   
 X: 1748, Y: 2770   
 X: 1753, Y: 2770   
 X: 1759, Y: 2770   
 X: 1768, Y: 2767   
 X: 1777, Y: 2763   
 X: 1794, Y: 2751   
